Ingredients,Potential Allergies,Potential Diseases,Halal/Haram
Asparagus,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Bell Pepper,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Broccoli,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Carrot,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Cauliflower,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Celery,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Cucumber,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Green (Snap) Beans,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Green Cabbage,No Potential Allergies Detected,Gout,Halal
Green Onion,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Iceberg Lettuce,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Leaf Lettuce,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Mushrooms,No Potential Allergies Detected,Gout,Halal
Onion,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Potato,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Radishes,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Summer Squash,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Sweet Corn,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Sweet Potato,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Tomato,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Apple,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Avocado,No Potential Allergies Detected,Diabetes,Halal
Banana,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Cantaloupe,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Grapefruit,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Grapes,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Honeydew Melon,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Kiwifruit,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Lemon,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Lime,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Nectarine,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Orange,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Peach,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Pear,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Pineapple,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Plum,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Strawberries,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Sweet Cherries,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Tangerine,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Watermelon,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Blue Crab,Seafood Allergy,Cholesterol,Halal
Catfish,Seafood Allergy,Hypertension,Halal
Clams,Seafood Allergy,"Cholesterol, Gout",Halal
Cod,Seafood Allergy,No Potential Diseases Detected,Halal
Flounder/Sole,Seafood Allergy,No Potential Diseases Detected,Halal
Haddock,Seafood Allergy,No Potential Diseases Detected,Halal
Halibut,Seafood Allergy,No Potential Diseases Detected,Halal
Lobster,Seafood Allergy,Cholesterol,Halal
Ocean Perch,Seafood Allergy,No Potential Diseases Detected,Halal
Orange Roughy,Seafood Allergy,No Potential Diseases Detected,Halal
Pollock,Seafood Allergy,No Potential Diseases Detected,Halal
Rainbow Trout,Seafood Allergy,No Potential Diseases Detected,Halal
Rockfish,Seafood Allergy,No Potential Diseases Detected,Halal
Scallops,Seafood Allergy,"Cholesterol, Gout",Halal
Shrimp,Seafood Allergy,"Cholesterol, Gout",Halal
Swordfish,Seafood Allergy,No Potential Diseases Detected,Halal
Tilapia,Seafood Allergy,No Potential Diseases Detected,Halal
Amaranth Seed Black,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Amaranth Seed Pale Brown,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Bajra,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Barley,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Jowar,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Maize Dry,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Maize Tender Local,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Maize Tender Sweet,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Quinoa,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Ragi,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Rice Flakes,No Potential Allergies Detected,Diabetes,Halal
Rice Puffed,No Potential Allergies Detected,Diabetes,Halal
Rice Raw Brown,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Rice Parboiled Milled,No Potential Allergies Detected,Diabetes,Halal
Rice Raw Milled,No Potential Allergies Detected,Diabetes,Halal
Samai,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Varagu,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Wheat Flour Refined,Gluten Allergy,No Potential Diseases Detected,Halal
Wheat Flour Atta,Gluten Allergy,No Potential Diseases Detected,Halal
Wheat Whole,Gluten Allergy,No Potential Diseases Detected,Halal
Wheat Bulgur,Gluten Allergy,No Potential Diseases Detected,Halal
Wheat Semolina,Gluten Allergy,No Potential Diseases Detected,Halal
Wheat Vermicelli,Gluten Allergy,No Potential Diseases Detected,Halal
Wheat Vermicelli Roasted,Gluten Allergy,No Potential Diseases Detected,Halal
Bengal Gram Dal,Legume Allergy,No Potential Diseases Detected,Halal
Bengal Gram Whole,Legume Allergy,No Potential Diseases Detected,Halal
Black Gram Dal,Legume Allergy,No Potential Diseases Detected,Halal
Black Gram Whole,Legume Allergy,No Potential Diseases Detected,Halal
Cowpea Brown,Legume Allergy,No Potential Diseases Detected,Halal
Cowpea White,Legume Allergy,No Potential Diseases Detected,Halal
Field Bean Black,Legume Allergy,Gout,Halal
